G	PLQY
1.01908E+15	8.36938E+01
3.21654E+15	7.29194E+01
6.25731E+15	7.29194E+01
1.21727E+16	7.63472E+01
3.10893E+16	4.93477E+01
6.04796E+16	4.01320E+01
1.21267E+17	3.18963E+01
3.09720E+17	1.96908E+01
6.02514E+17	1.24384E+01
1.20810E+18	7.85709E+00
3.08551E+18	4.74035E+00
6.37673E+18	3.06397E+00
1.27859E+19	1.89151E+00
2.98228E+19	9.49634E-01
5.97975E+19	5.99867E-01
1.23582E+20	3.78925E-01
3.35314E+20	1.94660E-01
