G	PLQY
9.75E+14	4.94E+00
3.34E+15	5.42E+00
6.49E+15	5.17E+00
1.59E+16	5.42E+00
4.04E+16	6.37E+00
6.02E+16	5.05E+00
1.87E+17	4.40E+00
3.88E+17	3.74E+00
6.38E+17	3.26E+00
1.57E+18	2.25E+00
3.15E+18	2.30E+00
6.12E+18	1.74E+00
1.36E+19	1.29E+00
2.92E+19	9.55E-01
6.07E+19	7.40E-01
1.30E+20	6.59E-01
3.78E+20	4.35E-01
