G	PLQY
1.10E+15	6.78E+00
4.09E+15	6.10E+00
6.88E+15	5.99E+00
1.62E+16	6.90E+00
3.58E+16	7.03E+00
7.46E+16	6.90E+00
1.60E+17	7.41E+00
3.04E+17	7.67E+00
6.72E+17	6.32E+00
1.79E+18	5.99E+00
3.19E+18	5.03E+00
6.63E+18	4.68E+00
1.56E+19	4.29E+00
3.14E+19	3.72E+00
6.53E+19	2.27E+00
1.73E+20	1.62E+00
3.18E+20	1.25E+00
5.68E+20	9.74E-01
